Bus, Pg, Qg, Type, CEQ id
153,   95.000000,   13.242682,ST,33240597-44EB-4B8B-9B0A-30B06149975C
154,  200.000000,    7.336670,ST,F249BB0A-C51B-4AD0-A6B6-33338B0A7346
155,    0.000000,    1.710287,ST,EE562B0E-CBD6-45B6-AD24-DE9F525A5B59
156,  187.000000,   40.247680,ST,63A406F9-0D8B-4D86-B3FC-785CD5A6A522
157,  196.000000,  -47.003000,ST,2248E3C5-D148-4819-9AFA-D94F9AA2981F
158,  150.000000,  -36.174080,ST,D1F92652-7789-41CB-8D36-6E46B64C1B58
160,    0.000000,   -1.974163,ST,78C117C2-4322-4243-A925-CA4DBBA7C115
161,    0.000000,   -3.057466,ST,3E302506-7C98-4BB0-A533-886D31D977B9
162,    0.000000,   -1.595449,ST,D336FF4B-EA2D-4534-81D3-EB3D293E252B
163,    0.000000,    8.722827,ST,DCF67F92-A6B7-46CF-AF23-AF608EC931B4
164,    0.000000,   20.693157,ST,2320C7F5-1409-4EDF-A651-28AC72670460
166,    0.000000,    2.454001,ST,1D7B49A0-FFF0-4BE8-B02C-08CF007AFC9B
167,  137.700000,  -10.487823,ST,B53BEAC5-22DF-4021-9BB5-C960E72EE135
169,    0.000000,    5.697475,ST,8319D74A-7137-4461-9C96-7CEEF2D23F2B
170,   10.000000,    0.123161,ST,08967631-7C6C-4117-8E02-68FE8250680F
171,  202.000000,    4.996114,ST,D113C218-46EC-4ACA-8460-0BDD423FDE5D
172,    0.000000,   19.204137,ST,B9E64A1D-9733-4D41-BA4A-16DDD260A37B
173,    0.000000,    4.303447,ST,8CD2DF55-DDCE-49BF-88FD-CD57825CB8FE
174,    0.000000,    3.355173,ST,F68AFC61-3C4E-4D87-A28B-C876191FC5CA
176,    0.000000,    0.174661,ST,CB9EA923-C5D0-4A9E-BD77-82CA760C2FD4
177,   85.000000,   -0.137306,ST,67422A55-A152-45DA-ACD2-B2AF1F6E8A5E
178,  200.000000,   -0.463769,ST,7B65B419-1E3A-4363-B3D6-371EC8ACC3E7
181,   60.000000,   -0.194733,ST,720168A7-D93B-40D4-B8B9-91C06674A049
182,    0.000000,    3.151345,ST,0CC39D7E-3B58-4C36-8DB6-8BBA64D5B452
184,    0.000000,    3.582792,ST,D01440F8-0E9D-4C68-BC44-67FC5BCE8EAC
186,    0.000000,    1.726459,ST,5E61C72D-815D-444C-8100-FBA12693FC1C
187,    0.000000,    3.892407,ST,757C06F2-F007-4747-83DC-ED10043ADC0E
189,   57.000000,   -2.425016,ST,CD9D77A2-250A-454F-94A2-4DB2C759F6F1
190,    0.000000,    1.080301,ST,BEFD763A-091A-4AFE-A43F-EB2FFB35D727
192,    0.000000,   -1.112217,ST,0ACDC4E9-94AC-46A5-9BFE-5787437EA3D2
193,  184.000000,   40.498613,ST,1093E8B7-163F-445F-8D7B-4E0A416E2D2B
126,   20.000000,    0.818836,PV,AF7F9A5E-64F2-416E-BC7B-3D6CDA96CA6E
128,   25.000000,    0.761589,PV,F05292CA-45F5-4AE4-92F3-95767292203A
130,   20.000000,    1.444279,PV,BCFC394D-DC8C-44EB-9CC9-45037D03C182
140,   50.000000,    1.617726,PV,0065B6BF-B4D9-40D0-A6FA-AD17F1F76419
149,   20.000000,   13.073792,PV,C3477343-7AA7-4D05-A7DE-4D0A8012A437
151,    5.000000,    1.534977,PV,F9DC9FBD-7B3D-411D-AD90-9346277B560B
159,   10.000000,  -12.561416,PV,EC7FA449-5791-4FE8-BFA5-E7CDBBF44649
165,    5.000000,    1.724502,PV,9FC6C397-E82A-4854-AD31-604599E91C4E
175,   30.000000,    5.739703,PV,77287467-D4FC-46E5-A835-F737804F60FC
179,   10.000000,   -0.932618,PV,9DF65A8D-97F5-4399-A4DF-FD88910D6F9B
183,   30.000000,    4.726048,PV,57B45653-F128-4327-BBE3-53BE7C7D273F
185,   20.000000,    3.248689,PV,49E4C739-6E77-49BA-BEFD-A3D197F19C46
188,   20.000000,    3.558217,PV,E40695BA-A4C7-4DF6-AA6A-8E33526AAE0B
191,   10.000000,    7.492901,PV,C456AAD0-3D85-4B51-8A39-6ACB8146E0C8
132,    2.000000,   -1.404470,WT,F007C270-45D1-488C-865E-316DA63713CE
136,   10.000000,    0.519235,WT,EF40B8BA-9A40-41ED-A1FE-7D433B76059B
138,   10.000000,    4.547321,WT,43192188-3A0F-4338-A183-95B82324AC02
168,   25.000000,    5.079034,WT,968937C9-5AA8-42C5-9847-302F8E960D80
180,   30.000000,   -3.247013,WT,A2211A46-47CE-4A37-9B9F-62388ACA5042
