Bus, Pg, Qg, Type, CEQ id
78,   83.000000,  -75.144962,HY,E731A704-DC6F-4666-8928-9D8A1BA7B28D
79,  200.000000,  -28.123052,HY,CA7B373C-DEC9-4EB5-A290-05803C49EBD8
87,   31.000000, -113.368225,ST,6819E108-F768-4913-B2C4-6F30B1433964
269,   14.000000,   -4.311419,ST,5B95A77A-62E5-4489-B39F-1D81F9090DA4
88,  206.000000,  -51.506871,ST,E9A32E7F-698E-42E2-B646-7E21299435D4
270, 2261.000000, -148.737024,ST,BF1B7FEC-FB08-4AE5-B23F-D7B217CBE40D
271,  608.000000,  -42.892005,ST,AA52B719-6529-4A35-BAC1-D00FCD6D8047
94,  104.000000,   -7.988903,ST,EBE48F0D-4058-4C51-A63D-A873810CBE28
273,  191.000000,  -51.380935,ST,5D703367-0ED7-45BC-A147-8516E734CA59
100,  620.000000, -160.873041,ST,55AF475C-E75A-4319-B5B9-0F0F08DE18F3
107,  481.000000,  -58.161724,ST,A3FF0277-DDD9-477A-A050-26E234E00DBC
275,  293.000000,  -36.798002,ST,EF45FDD6-8400-42E2-9CA6-FBBFA0837C19
276,   13.000000,   -1.874270,ST,73A4EF60-F010-4669-BFD3-81098F12D391
109,  783.000000,  -90.732936,ST,60DDCBE0-2449-42F5-AD61-DBBFD85E8D0A
277,   67.000000,  -13.246510,ST,DC80D0E3-EB05-426F-A353-FA5AD457C805
111,   30.000000,   -5.287725,ST,AEF039CF-D0F6-4CEB-8AC2-07F8DD5B2509
113,  222.000000, -168.303788,ST,FF97A84E-4567-43A0-996B-924D0BA60595
120, 2108.000000, -415.171086,ST,90786E82-F2BF-4842-A766-FBF10BD19FC2
279,  150.000000,  -99.846992,ST,3F90DC9A-32BA-42E2-BF60-C7F8F08B3178
122,  679.000000, -157.327668,ST,B84EC5B6-8069-4AC1-97AC-F33302D35E26
280, 1212.000000,  -86.631175,ST,62A2B60D-3643-4279-824D-667C951143EC
156,  235.000000,  -18.184147,ST,5540F9FF-D397-4AB5-81F7-7D3736FF11EA
283,  901.970000,  -84.399649,ST,41B6286D-1894-403E-9410-3B12F570F63F
284, 1275.022000, -117.830655,ST,A990C211-1D34-447E-9215-92D762B131C1
285,  346.372000,  -31.475037,ST,18F15E4B-D1C8-422C-925B-2EAD878DA72E
286,  623.937000,  -59.262433,ST,CA765D6E-1DE2-42B3-93C9-DEE688FDAB77
289,  208.800000, -161.397704,ST,971AA4FC-E07A-4E94-A70D-27A190B3FAA0
169,  892.801000, -645.292556,ST,026AE118-4191-40C7-B2C0-159E8B9D7E0D
290,  448.200000, -132.602753,ST,0A64765E-B417-48B8-BBF1-C6C248E8FFD5
291,  966.600000, -280.590895,HY,B1563658-6475-4CA1-B457-A072DAF367E6
292,  697.500000, -202.759724,ST,23AD0A24-5C0A-4A7B-9CA2-072BCB13B940
293, 1455.300000, -145.217371,HY,5FD3C210-27FC-4D8B-AF09-59967E89F174
171,   77.400000,   -7.460322,ST,91A9A29E-5718-42E0-B255-B3C9A129EB3D
295, 7418.700000,  157.864963,HY,5D737163-52CD-4DA2-A257-63272CDEA6EA
184,  450.000000,    9.734038,ST,72672435-75C9-40EA-B430-FF31AA430905
297, 3835.801000,  132.103920,HY,81711B1C-54C6-4E4D-A385-AB37A3F476D4
298,  900.000000,   32.163692,ST,A65C2907-A920-495F-9600-5D4F26594554
299,  270.000000,    9.317371,ST,327585DE-B667-4B29-9CF5-4A348F58E0E2
185, 1854.899000,   69.988397,ST,8AA71FBD-34EA-4823-939F-911EB26A845A
300,  664.200000,   -5.778538,ST,97F99C0E-3D2A-4FB8-AAA1-298EEA141D27
301, 2406.601000,  -19.759262,HY,B3184ADE-FCFE-4F4C-856D-A4ABD1F988AA
190,  999.000000,   -8.601766,ST,212A6718-D47B-4C77-ABAA-8E6BA6C96C32
303,  316.800000,  -29.097882,ST,244325F4-80A1-47EB-BBB1-058289DC8DB2
191,  348.300000,  -38.423491,ST,149E45D0-7049-44B0-AE63-DCCC0B625DFB
304, 5976.000000,-1148.589730,HY,EA52A544-15C5-41B1-8A92-AC702C9D2DC7
196,  821.700000, -299.387999,ST,82919C7E-BA96-48DD-BCC7-CEE3E9670130
305, 2695.500000, -397.635896,ST,EB7A2B90-2443-4787-9CE2-67F3B771B80B
306,   66.600000,   -4.359867,ST,FC830350-7B92-4F4E-8604-0E800EA2445B
307, 2701.800000, -157.394821,ST,DBD66490-09D4-45E6-9C55-D4A38665CF80
309, 1043.100000,   56.324009,ST,76FAD3E7-9574-4686-9E93-1DD889F71121
311,  180.000000,   11.990316,ST,A5F19458-E954-454B-81F0-083E69BF0F3F
202,   45.000000,    3.696073,ST,A9E65F33-715B-4AD7-BC7D-B304DE657762
313,  225.000000,  -22.951990,ST,4FC46C2F-A65E-4757-878E-A3245AFAE24D
208,  705.150000, -281.726835,ST,90D48E83-55B0-4E56-944A-7FF57D4AD7DA
315,  280.800000,  -26.121898,ST,7876769A-7561-4870-8651-33D534B3AEBB
209,   90.000000,   -8.751452,ST,ECF1C588-F78D-4044-9E0C-7A55EF412038
215, 2837.700000,  463.514456,ST,6DDE3509-A89C-4EE5-84D8-EE067A24B086
317,  295.200000,   66.231052,ST,FFD36926-BC64-41A1-9837-51C71ACA5551
318,  259.200000,   62.125897,HY,1606AE11-1675-4527-86C1-8DC85CA62001
216, 2274.300000,  481.424670,ST,54F031D3-C00F-4EEA-A295-960AF8E1130C
319,  372.000000,    7.850942,ST,A4D7C564-0E31-4236-8AC0-F41F1C7C3E2E
320,  679.000000,   14.356290,ST,82A6D817-69CB-4E05-B540-3B312F39C0D0
221,  194.000000,    4.113329,ST,C918B97B-89E8-4F46-AC0B-F2FFECFB8C78
323,   90.000000,   -4.777700,HY,CD7338C3-C04A-453E-8F31-C361B3CD042B
324,  566.100000,  -21.810405,ST,76CAE711-044B-4730-AE45-8C450CE32A39
325,  157.500000,   -6.007832,ST,6C009001-56F0-477C-8699-D9E268BFF37D
326, 2242.802000,  -46.900598,ST,E2B3C11D-5932-4EB5-9A51-B5C872626A3C
329, 1098.000000,  -22.777900,ST,A19F23B4-0C0A-4EB3-B949-5ECBFE2B0D1B
235, 1105.199000,  -23.629881,ST,A37F0D67-BD20-49A8-A761-511591DA2AA6
331,  390.600000,   55.753792,HY,53B3E536-0A99-4B2E-A0A2-22D314BF20AB
332,  428.400000,   60.058698,ST,3687AC81-4582-42B2-8613-3542568A36BE
236, 1057.500000,  151.156751,ST,14B9F798-20C1-48C6-8DD7-1C95DE131926
242, 1182.000000, -250.402840,HY,21961B78-AAE7-48C8-8328-F706B251B17C
333,  427.000000,  -24.125102,HY,11263EBE-897D-4A72-A00B-B999212F977D
243, 2946.000000, -167.003394,ST,0E9B4961-0A71-489D-AE6C-140160D3451A
52, 1899.000000, -193.363183,PV,B957EEB8-A9B6-4DCC-B5EE-6212E7471475
76,  232.000000,  -29.618136,PV,DD65D878-1509-4A70-A06F-6C296E3CAD81
272, 1021.000000,  -69.421464,PV,632BFB1E-1CAF-4C90-B72B-99A09822DC9E
274,  745.000000,  -86.714665,PV,0AD433ED-DD36-4694-B77D-A6DABC00AC5A
278,  229.000000, -149.811146,PV,83D9FDF1-14C0-4166-A888-E8B1E2F5568A
157, 1355.000000, -427.277443,PV,4C3A8DF4-629B-4ED0-8E79-8D2CC43F107B
281,  161.484000,  -14.693840,PV,2F800CC6-DBBC-4876-93F7-6C54FC1706A9
158,  404.880000,  -38.008574,PV,CC36B47D-4F32-467B-B70C-7E679B464D07
287,  313.199000, -230.494312,PV,73DFCC15-6DA8-466F-ABEA-4CCF87EB7CEC
288,  140.400000, -103.729574,PV,B85FE0C0-7BFF-40F6-A5E4-65C69F3BA7DE
170,  173.700000,  -50.698757,PV,B6207005-DA5B-4103-B0F3-72835F63919D
294,  712.800000,  -63.448426,PV,B9C474A4-20FB-46F9-AC85-63AB9BD8953D
296,  555.300000,   13.346603,PV,687FEC01-0CB4-4C38-B62C-A596C142EAC1
302,  222.300000,  -25.741592,PV,C4D0AA45-EAB0-4E24-A894-3FBDEBA4F6C6
308,  331.200000,  -21.860784,PV,8A039042-3032-48F3-89C2-C3B9AF7BA294
197, 3646.800000, -536.143021,PV,4F384DF6-8463-4AEC-AC4E-A9CD7459C744
310, 1992.599000,  107.616872,PV,4FB6238E-C3B7-475E-800E-8AE8BC3419E4
312,  503.100000,   31.184049,PV,09BCAC26-7E1B-4277-9EA7-0717D9EF3BAA
314, 1040.400000,  -93.781203,PV,3D25A0AC-93BA-4539-A9C6-D117675566B9
316,  919.800000,  150.744965,PV,A8D7873B-ADAF-41AA-9692-524EC02622D2
321,   75.000000,    1.585607,PV,5C0AB230-4955-420C-B122-606D2E186509
322, 1213.201000,  -50.797541,PV,DFD7DD7B-9E20-4646-8479-B5EB6730658D
232, 1318.501000,  -49.399500,PV,CA871A00-9F70-4D31-AEC5-EFB3296A76B2
327,  123.300000,   -4.304807,PV,44E5B53C-9ECB-44AA-B82B-4D47959EA803
330,  861.300000,  120.193748,PV,CC1AE9F2-53FA-4B6E-A112-23575D3068CA
245,  520.000000,  195.086061,WT,38FAEEED-295D-422D-BBFB-A936BAC3B544
247, 1598.000000,  275.796874,WT,A24C3D41-01FA-47BF-9121-5E4DFC98020D
252, 1266.000000, -108.625992,WT,BF6F6444-1DE1-401A-B765-A259CD0CF238
256,  404.000000,    6.152898,WT,A7A581D7-7D90-4482-97CF-5D7F86AA3CBC
32,  878.000000, -169.213120,WT,229F16F4-E9E5-485E-9898-1A1073972A95
45,  500.000000, -969.321361,WT,6203B692-2818-44F0-9C3D-AEDE41046CB9
46,  500.000000, -249.030069,WT,7A396E4E-4622-48F3-8F8A-EABFF42D48FC
262, 1195.999000,   94.633358,WT,E2CC7772-2363-4D4C-8679-D37085C36BE3
266,  704.000000,   56.591017,WT,373AEB82-22C0-4047-AB95-5A918E1A50A2
48, 1000.000000,  119.540984,WT,09FE45DC-C52E-4A01-AACE-76803A611668
