Bus, kVbase, Vpu, Vdeg, CN id
55, 500.000,  1.010051,  7.769423,35A2FA38-1196-4F71-88B5-AD3C7AE0E37F
56, 500.000,  1.015161,  7.817620,4768EDD7-D211-41B4-A9EB-7ECC179909D0
57, 345.000,  0.999522, 27.261293,5D5F315B-2D09-4349-97B1-381030A29310
58, 287.000,  1.002784,  9.949584,EB4D0CAE-99DD-435B-B9E9-CC77257CCF63
59, 287.000,  1.002784,  9.949584,3C6548C0-A02D-4B36-BFAB-C1BA444D1927
60, 287.000,  1.014816,  8.560242,D304F43D-1729-45BB-A85C-21B4450471B8
61, 230.000,  1.000137,  7.457266,9F2577DF-B757-4417-AC61-23E8C4C89161
62, 230.000,  1.000517,  9.238400,ADAF7AC0-361C-4CEB-B477-32B5D75A06B4
63, 230.000,  0.999558, 23.479277,9462CD74-6186-4893-BD8F-C21B598F3967
64, 230.000,  1.000144,  7.280806,AF7EA965-B50B-447F-A600-8E2580C4F65E
65, 230.000,  1.000331,  6.902259,FEC1DF82-81C7-4036-A601-71CDBC20EF56
66, 230.000,  0.996676, 12.735014,42C1617E-48BF-45C3-BC90-6E2A50AB82C5
67, 230.000,  0.996832, 11.250926,1B72A2F3-A298-47F7-A989-78984F48A63B
68, 230.000,  1.002903,  7.823932,DA763288-9EB9-4E16-A968-8720DCB0DFE0
69, 230.000,  0.996411, 12.432341,24FD7AD7-33A9-448A-A100-9097E7F1288A
70, 230.000,  0.998328, 10.675965,00A0DC1E-D7C2-41E3-B218-A0C7A7C469FB
71, 230.000,  0.997468,  5.870052,7EAA41F1-4869-43A1-98C2-A13F8CA05D14
72, 230.000,  0.999491,  7.135456,2958DE66-F59E-47B1-9028-5BC736A6C7CA
73, 230.000,  1.001040,  6.855814,1B7E5788-69FD-4184-B099-EF73E82F4C75
74, 138.000,  0.997431, 10.207055,3BAB18B0-C4A7-475F-B45C-47031B36C9F6
75,  20.000,  1.000000, 24.133325,55B551EC-8855-4061-BE6E-5D834FC2568C
76,  20.000,  1.000000,  7.347260,3D4179C5-62E8-40A0-8992-F843E3D2D67B
77,  20.000,  1.000000, 27.701826,712FA8DB-8FC3-4B98-A03C-B0C773419FBA
78,  20.000,  1.000000,  6.926029,5F612DE1-6C74-48A7-97B2-E9F20AEBE2CA
79,  20.000,  1.000000,  7.514554,F1980C75-EAC3-4EA2-BF11-402619FEF0C5
80, 500.000,  1.038732,  8.783901,A645867A-1698-4B1E-8764-77F52411470C
81, 500.000,  1.032421,  7.278206,95530F9E-14D6-4512-A29F-13092A224B49
82, 230.000,  1.008447, 20.017415,6F500808-19DB-4C8B-A4F3-67AD250C2D82
83, 230.000,  1.006909, 21.180741,1364795D-1549-4030-A3EB-DAF23A2D2310
84, 230.000,  1.003392, 23.412838,39B8A0A8-4704-4329-BD2B-833B0A5D3457
85, 115.000,  1.011189, 16.293381,637331AB-B207-4B2E-9959-39852B04542A
86, 115.000,  1.008229, 16.313519,A5664724-5A23-4549-B1C7-D1A5CA6FCB40
87,  20.000,  1.000000, 23.473024,E9467BE3-64E2-456E-96F9-80ED06828913
88,  20.000,  1.000000, 18.277122,D7281431-12B7-45A0-8131-24508C4DF442
89, 230.000,  1.013326, 23.719548,93F45A6D-97D5-4B26-8D36-3C12DA9CC2FF
90, 230.000,  1.012102, 24.067298,C539B947-41C5-495A-839F-3B83388ACBD7
91, 230.000,  1.011583, 23.853825,1B51DDA6-8246-4169-986D-0F4806EED3DF
92, 230.000,  1.003917, 28.269844,F620AF18-A77D-404E-8F19-300BC72915BF
93, 230.000,  1.009119, 25.558494,205C613C-5B8D-48F9-B1B0-01A6745B54D3
94,  20.000,  1.000000, 31.244450,DADAA385-646E-4C2D-BBE5-FDE1C1C7A559
95, 500.000,  1.015406, 23.184246,E3110CC9-DC9D-495D-9B68-AC7211363AEB
96, 230.000,  1.015917, 20.026888,EA09FD47-C247-40A9-8583-ECE7F93CA5DE
97, 230.000,  1.014218, 22.206734,07130542-3100-4B0E-B307-84F7FB40AF10
98, 230.000,  1.016758, 20.619411,BCBACE2D-451F-44BA-A1B2-DE9D70A274AF
99, 230.000,  1.006657, 23.197459,28B04793-75C2-47A0-B4F6-9F75435009FF
100,  20.000,  1.000000, 25.412367,7FDE9394-FF79-4B13-B03C-B00667FB2577
101, 230.000,  1.026716, 11.026410,03FA3C83-1267-45D3-BCEE-4F9A4AEA4A0F
102, 230.000,  1.028980, 11.012748,1D005512-0FD2-4411-9AD7-063593D30492
103, 230.000,  1.005593, 22.316231,54DA0D96-4545-41A4-8F5B-07825BE4FCB6
104, 230.000,  1.017908, 16.029732,16874C41-2800-4AF3-A470-EC0645D17F35
105, 230.000,  1.020693, 10.330024,5CCBF4EA-D440-4539-84C4-AF5000CD05C3
106,  20.000,  1.028980, 11.012748,FA0E9132-0536-4B0E-958B-B54056FA9E18
107,  20.000,  1.000000, 25.065915,852E047A-A434-460B-8905-36DB7F28280D
108, 230.000,  1.005973, 29.516073,A1EBDDD1-7A33-4859-AA68-B793F4B0A578
109,  20.000,  1.000000, 32.499093,07F76FB6-6ABF-49D8-8BF6-C02140928F71
110, 115.000,  1.004849, 27.671734,78297364-BDBD-44C5-B295-0F3C10A98679
111,  20.000,  1.000000, 29.389908,5C48ABAB-1F7D-420C-8FF8-A9A6CFD84F01
112, 115.000,  1.000927,  9.735173,23C06AF9-72E8-4586-9CEB-F2C0EF0C251B
113,  20.000,  1.000000,  9.798713,BC3BEFE3-D644-4150-B7EC-12E4CFF23EF1
114, 500.000,  1.001960, 22.288706,CCF3710F-0CF7-4158-A1F5-1B3F324EF225
115, 500.000,  1.016543, 16.466169,1E2F5B83-C3E2-47E1-B2A6-921CD349BCC2
116, 500.000,  1.015039, 13.949996,6F3F9E99-2EBA-4478-B71D-EDC04C57CA9C
117, 230.000,  1.015805, 16.230495,F55208A2-D15C-49AB-A57D-4F303839E099
118, 230.000,  1.005998, 14.711555,09CA0554-8FAD-4833-A47C-8CA01C714445
119, 230.000,  1.000762, 18.984141,C44636F5-04FD-43B9-A25D-73180783D63B
120,  20.000,  1.000000, 22.891433,4BE25EBB-8B48-433C-8B6D-B63B6C49D943
121,  20.000,  1.005998, 14.711555,5E3F6B99-7EBC-4BD6-93C7-1894637088A4
122,  20.000,  1.000000, 19.178513,2100B797-9CE2-409B-B336-85AD07659640
123, 500.000,  1.011433,  9.806898,7D3C5A7C-C467-43C1-92EB-210EEC4C6226
124, 500.000,  1.011801, 18.987905,73B69BDB-6C34-4A5F-9653-D9F93EF5F610
125, 500.000,  1.003598,  4.435961,62D59E1E-1B10-4040-B4EB-810100476F9D
126, 500.000,  1.011672, 19.072113,7BB351CA-54A6-4357-8536-DA6B92B753D2
127, 500.000,  1.003872,  4.402938,FB1C1778-4339-4357-9CE7-EEC722E449B0
128, 500.000,  1.012570, 19.322980,027DFA1A-647E-4F78-98A7-21F33D2A1686
129, 500.000,  1.005204,  4.652041,2B1E3198-6B7F-4394-85DC-0C47A40C925F
130, 500.000,  1.020890, 19.129824,6960EC2E-6446-4E28-BFB4-1698C9AD4798
131, 500.000,  1.002001, 24.251713,40C817EA-333E-4629-99BC-B7848731ABB8
132, 500.000,  1.022649, 23.949935,B83637AC-3A7B-4374-B995-F4834522767E
133, 500.000,  1.021539, 24.099329,465783BA-CA5A-4326-AC9F-1162ABE9FC99
134, 500.000,  1.016709, 25.546966,DA274ED6-643A-4254-864C-B1D5FA6268E2
135, 500.000,  1.021480, 28.056119,588E1308-172F-48D0-92BF-4E7CCC27F07E
136, 230.000,  1.009020, 13.169716,BA3F0F15-349A-41F6-961C-EA9DC5C62A01
137, 230.000,  1.011486, 11.524829,B1873BD5-0DC7-4802-8C60-9CDA24DB4F35
138, 230.000,  1.019163, 11.862964,0403BA90-859C-47E9-87AA-965C6F0A744F
139, 230.000,  1.010142, 16.268192,357446D6-888B-494B-9529-9DCA9963C99C
140, 230.000,  1.002417, 27.605885,2CE4F08B-7B38-45BA-8DD2-9B69BC9B0EE9
141, 230.000,  0.996478, 20.287219,F3249C23-C7EE-4FCE-B985-073B8868B92A
142, 230.000,  1.003697, 16.006904,52630635-D5BB-49EF-A0B8-CFE94ECA4539
143, 230.000,  1.012463, 25.762664,2EAF19EE-D595-4675-B515-72F5269D8B84
144, 230.000,  1.013842, 24.775091,B94DA841-AA2A-469A-9464-52034BE18FDB
145, 230.000,  0.999860, 20.268046,D3149362-607A-4994-A78D-9A75D7942AB0
146, 230.000,  1.024265, 16.649822,22CE97DA-C3BC-4353-9DE6-9308241432E9
147, 230.000,  1.014917, 20.565583,B2390638-C91D-47C3-B661-9D422E762043
148, 230.000,  1.019099, 13.382351,BD3A52B6-A4E6-4E51-9275-C5DEB83F5D43
149, 230.000,  1.009189, 13.038291,4C76C799-2D41-4334-B0A7-99266950F742
150, 230.000,  1.002729, 35.153337,2DF9BF9D-217B-4154-8D9D-4CB437EF8CE8
151, 230.000,  1.016557, 17.772769,7F96FF2F-82EB-4CBB-AC67-4E3920CC9EB9
152, 230.000,  1.003883, 27.341599,BE690B81-F143-482F-B03B-36BF582FF983
153, 230.000,  1.016719, 23.216278,63127BE8-0B47-4913-840D-9B857DAB096C
154, 115.000,  1.004755, 27.637583,75CCCE0A-9112-4DC5-B882-894E538338D9
155, 115.000,  1.006557, 10.313634,3D67349F-8B1D-4128-97FB-0F123B364FD3
156,  20.000,  1.000000, 37.396136,F7D1399A-0A2B-462C-8118-E8BE25B98AB5
157,  20.000,  1.000000, 24.639120,18A00303-84DB-4047-B313-6CD011FBE2D7
158,  20.000,  1.000000, 29.915721,8F673B50-A017-40E2-B117-39BB870E7F0F
159, 500.000,  1.022431, 28.769211,1C936C47-98F8-45CE-99B7-A06B1B9A1F42
160, 500.000,  1.028125, 32.236164,F82B75DA-8323-497C-AC36-064AABFBDBC7
161, 500.000,  0.974819, 40.592051,E91C9D2B-F153-4354-A6CD-F184ED24D961
162, 500.000,  1.032451, 31.782579,9AE17230-77F0-4C28-A83B-E75B2527759C
163, 500.000,  1.007226, 35.079207,A951C9F8-C768-4B5A-9E78-16B95FC0F3D7
164, 500.000,  1.003803, 31.472994,C75D2A7C-B517-4EE8-9AE6-B4D53780AB42
165, 500.000,  1.003662, 31.297287,F4C906B2-2DE8-45BC-A8DA-B3CFD475DA3A
166, 345.000,  1.027836, 26.222493,B7647906-0699-4F22-A2EC-DAF8D5CD790B
167, 230.000,  1.004854, 29.021577,A55336DA-582C-4806-9FDD-44DFD969EF3A
168, 230.000,  1.004150, 28.707601,6A9EE7D7-461B-46B4-863C-701A8399346B
169,  20.000,  1.000000, 30.587859,E4211773-DB0A-4B4A-8D71-5276C57287B2
170,  20.000,  1.000000, 36.610288,3763E40B-1EFE-4465-9F02-6A5AC9942BAC
171,  20.000,  1.000000, 31.971937,563C9C8E-400C-495E-A62A-D60A64D9EE6F
172, 500.000,  1.028628, 31.724960,BBE13252-F726-43D4-BE76-2B793A144C57
173, 500.000,  1.034520, 31.958313,11DFF29B-26DC-47A2-92ED-97322B0DE88A
174, 500.000,  1.034405, 29.487627,EEB3415D-03CD-41E0-BCFD-09DC2FC396DE
175, 500.000,  1.034186, 29.190956,389A5E13-9196-4EF6-9C57-B52D2220ACF0
176, 500.000,  1.036984, 31.456772,305626C9-774A-433F-9596-B4D623413D98
177, 500.000,  1.033420, 29.358385,1EEF39AD-A7EE-47D2-A4FB-8E5FD0C8C61C
178, 500.000,  1.033104, 29.044295,8E4C6A5B-D92C-48C5-AC6B-20EAFBB8A8AF
179, 500.000,  1.036730, 31.441525,55E63780-905B-4843-A417-71E24353E1CD
180, 500.000,  0.998859, 58.004384,604BB925-F312-4629-A617-733270E36895
181, 500.000,  0.997689, 47.659118,0117BD30-46F3-496B-ACAD-44E2B11C053F
182, 500.000,  0.995129, 38.906944,40799CB4-D1C3-4CF4-8F97-23A20AD91BA3
183, 230.000,  1.009316, 26.653169,46C10F04-A25F-4454-B451-DB8523AAECDE
184,  20.000,  1.000000, 61.445972,ADFC5DCC-2E31-447E-A442-B68A9C2AD72E
185,  20.000,  1.000000, 52.500987,2935F382-76AF-4965-ACB9-232E13D58AD5
186, 500.000,  1.001032, 49.287991,F8508925-DF0A-4267-BAA3-980E10D64180
187, 500.000,  1.003068, 32.315899,8775CEB7-B796-4300-BC68-23565ED7D65B
188, 500.000,  0.985284, 27.747837,181B8EAA-86AD-4E2D-9DF7-308D6E013333
189, 500.000,  1.014766, 27.516536,2FF647D8-6257-4195-9CA8-47F9A654F01A
190,  20.000,  1.000000, 53.103657,20118390-7C6D-477E-80C4-9A357EED876B
191,  20.000,  1.000000, 34.531691,F099526D-F766-465E-85CB-2686643B22EE
192, 500.000,  1.010631, 42.645248,71DB5BD9-B6D0-4293-9A97-6477FAAF27AE
193, 500.000,  1.003811, 42.782873,2ACCC500-DAC9-4262-AB81-D5245E5A858F
194, 230.000,  1.015345, 38.626508,F3628060-A397-4085-A401-3FCE5958F6AA
195, 230.000,  1.040092, 32.610378,61B33B82-C307-4D23-BCA9-C2EA9F1210FB
196,  20.000,  1.000000, 44.386570,6F9AE09A-FFFB-4C02-81F2-9A64A6FB4A41
197,  20.000,  1.000000, 44.377136,857C0E05-0922-4444-AD8F-6C960BF2AFDE
198, 500.000,  1.007369, 50.085926,AE59C0DC-2053-4009-A891-0F95B352C5E5
199, 345.000,  0.997134, 52.605607,6FDB5608-679D-4212-9938-2F60EA28086E
200, 345.000,  0.987359, 50.397426,461FD5E5-9E40-451C-AC62-F7D120463BF8
201, 230.000,  1.039140, 38.495030,ADB921ED-DDE3-4A6B-B622-A405784DA7FB
202,  20.000,  1.000000, 54.591285,C9CB95AC-EA97-4031-82FD-317291B344D4
203, 500.000,  1.009561, 47.459111,AD076453-818A-410A-AB97-47C17C95A078
204, 500.000,  1.037621, 43.791234,5F20C0CF-62AA-439D-9B26-F9A2D2266030
205, 230.000,  0.983787, 44.506845,EDE3BF7F-9165-43B3-ABC0-547E77D815C6
206, 230.000,  1.034671, 43.313187,F67D63DB-3861-4491-942C-FA81EE712485
207, 230.000,  1.002949, 53.435688,AD6EF9AD-F817-42FB-8A6A-10283EF1C1EB
208,  20.000,  1.000000, 49.074102,2D6447DA-162B-4530-98D5-5331822C2C80
209,  20.000,  1.000000, 55.497286,B1FD014F-063B-4A08-AAD8-29B5224E7C5F
210, 345.000,  0.988712, 51.883459,30A07671-60CE-472D-82BF-25E6982AEA4D
211, 345.000,  0.977607, -5.675138,D528A2D0-639C-4BDC-BE15-F02A4216F7F3
212, 230.000,  0.989110, 66.381230,BB52EA80-A806-4114-8C8B-E896E850258A
213, 230.000,  0.969239,  8.409211,AFA632AF-4126-4608-B8F2-2ECAC7A7DCB2
214, 230.000,  0.983020, 66.072969,2ABDA4C9-A5CF-4012-ABC2-808929092510
215,  20.000,  1.000000, 69.940895,CE21DD75-ED1B-4E6E-976F-3F5CC127BE28
216,  20.000,  1.000000, 70.469358,5AB0B2FC-054F-42FF-9EFA-27EE7CEC218A
217, 345.000,  1.034971, 12.382106,3983D153-CDC6-4A5E-A306-E74EBC545543
218, 115.000,  1.019499,  9.935851,94126AF8-4536-4C35-BF7D-E65728AB9800
219, 345.000,  1.000290, 38.783753,C839A9B8-CF71-4E36-9CFE-3065CD0571B2
220, 345.000,  1.014511, 27.752217,24EA7FBD-F3D4-4A58-9FF0-39166E33B9FA
221,  20.000,  1.000000, 41.563349,724F30D9-2B4A-40F2-A3DD-F40672C37B57
222, 345.000,  0.979069, 30.466645,0548003F-1C66-47A1-BCD6-6B2571DE9455
223, 345.000,  0.982805, 29.295633,1836FD72-027F-42A5-8A4D-8C805D71AF7F
224, 345.000,  1.000569, 41.529142,C69DC324-0D35-4F8E-A9EF-A9CF9BAC175D
225, 345.000,  0.982572, 29.350325,6883C3FC-5477-4BB8-B59B-D32022DE7895
226, 345.000,  1.012597, 34.748423,55CC71F7-E828-47ED-8B2A-FBD2B837B396
227, 345.000,  1.005408, 33.370126,899B7144-CC78-4F12-813C-600967D6FE95
228, 345.000,  0.985418, 30.404262,8D8078F9-E1C0-4A9F-9B66-1D16D4B106DC
229, 345.000,  0.992057, 32.092294,331600F9-55CC-4B67-B74F-8B0539A2E15B
230, 345.000,  0.983476, 29.342438,9DF406AF-04E1-46F7-A7A2-3AD3B45E9137
231, 230.000,  0.953334, 31.165589,C670D9C0-79EB-4D73-A6C1-33A40C7CDA45
232,  20.000,  1.000000, 43.818559,102CD2DF-637E-4548-B0BB-ABD45F27F20C
233, 345.000,  0.999283, -7.650541,08D1C5E6-8AD4-44DD-88F4-C7D673A46263
234, 345.000,  0.991386, -4.533461,2864E00C-F55E-454D-A75F-F0E5DA49DE85
235,  20.000,  1.000000, -5.670522,4811C49B-CA5D-4C4A-A9FF-0E850D4DBB3E
236,  20.000,  1.000000, -1.327925,1C9283EC-7C4C-4A3E-BD75-3B9D908026E0
237, 500.000,  1.019549, 25.487583,2B0189FA-E139-4883-8B08-D8F8B7D250C0
238, 500.000,  1.021671, 20.910144,24B34839-36C8-4FF1-9AC9-A3C63B690EBE
239, 230.000,  1.001215, 28.191881,F387ABF7-5844-442B-8B09-E2A592419A67
240, 230.000,  1.005435, 15.574595,66FC0AE2-DC32-432C-AF90-1F55912CFEA0
241, 230.000,  1.015897, 14.960290,3BAF5F1A-64CB-469E-8C0D-F2FA4965DE31
242,  20.000,  1.000000, 28.530090,8DAB0E4F-60BC-446A-8B3F-AFBDCAA2B149
243,  20.000,  1.000000, 20.003885,F650F4DF-FD80-47BF-81D6-28CAFE863CDE
244,  20.000,  1.000000, 34.908648,E78C4065-7E3B-41FD-84DE-BF12EA583E9F
245,  20.000,  1.000000, 35.037764,97E1F271-AF11-4000-BBF0-983702B63093
246,  20.000,  1.000000, 47.343940,A9FF8D23-A139-4584-B9A0-54C665A8CEA3
247,  20.000,  1.000000, 47.667553,5E16187D-2C09-4F03-9727-DBF6998F7301
248,  20.000,  1.000000,  7.971394,73887A95-5631-4AF2-B1B2-B8D28FE9501D
249,  20.000,  1.000000, 19.920995,264CAA83-122A-4F39-8F70-5548F65F92D8
250,  20.000,  1.000000, 14.513340,282DC044-DAA1-4803-B953-CF0CF33ED477
251,  20.000,  1.000000,  7.011492,C66D2E48-464D-40F4-AF6E-9B66623D5959
252,  20.000,  1.000000,  6.958961,6C0BC444-C79D-4469-85F0-EAB03F1C8AE4
253,  20.000,  1.000000,  7.226116,9707ECC9-25D2-49EE-AB90-065F1E1B1FB8
254,  20.000,  1.000000,  7.188626,B292AAEC-1555-4689-AC2D-47E757F7ED44
255,  20.000,  1.000000,  3.235318,0E67A9A0-102A-4A97-BA75-AB92F69B9175
256,  20.000,  1.000000,  9.116600,A751E3A2-D7B1-4B9F-B894-FB5BC00A07F0
257,  20.000,  1.000000,  9.169131,E9D97498-A690-4993-9D24-00341E062821
258,  20.000,  1.000000,  9.030423,9EF00DC0-E6DD-43CF-823F-0B29C91C38EA
259,  20.000,  1.000000,-11.106009,3A7B9C35-F923-45A4-958E-87C8F23ECFCC
260,  20.000,  1.000000,-11.088830,FFE0E63A-EC11-4B8F-91C8-151F7CC63E56
261,  20.000,  0.997727,  1.522158,ACFE1580-7BA4-4D27-BF94-E0BE755835D1
262,  20.000,  1.000000,  2.768091,1CA553BB-82FE-4CDC-BBF0-74E3B6E7F174
263,  20.000,  1.000000,  2.720542,48C8A228-4A73-47A0-BCB2-117261BE6189
264,  20.000,  1.000000,  2.751369,6FB4FBEA-00C7-4247-BC9B-B7F14FBE01C3
265,  20.000,  1.000000,  2.411378,D582D7D1-48C9-4C30-A430-AA950011C5FA
266,  20.000,  1.000000,  2.744393,8C2E81C5-0CC5-4196-83F3-6C9AFEF2C663
267,  20.000,  1.000000,  2.761479,6DEF48D9-003C-4978-A1CA-9CB23F8B9708
268,  20.000,  1.003392, 23.412838,E687029B-EE4A-4968-A9AC-55E6FAC4F956
269,  20.000,  1.000000, 17.917041,7E3B284D-E846-4C28-9754-D095344E46E9
270,  20.000,  1.000000, 31.585535,D8F450A6-63E1-42B4-A1C7-303FE86B0481
271,  20.000,  1.000000, 31.431389,1A079D54-6735-4253-B982-B5E01C707778
272,  20.000,  1.000000, 31.514422,F752205C-06F4-4F9B-BC5E-889484D4D829
273,  20.000,  1.000000, 25.310983,C634993A-04F1-4E89-932B-71C35A0B262E
274,  20.000,  1.000000, 25.155393,F2AE8C45-DEC7-4A8A-9FF1-EFA7BD91D8BF
275,  20.000,  1.000000, 32.307116,9B4A37DB-3EFD-422F-94AA-4A3E241B9D86
276,  20.000,  1.000000, 31.993626,AA29787A-F7D6-41AD-87C9-50159CEE1C02
277,  20.000,  1.000000, 29.207388,6D156AE9-5EC8-4C38-A0D1-2EB4E88FAD25
278,  20.000,  1.000000, 15.341490,955EC56D-EE7C-48D0-BF5F-A759F87EEEE8
279,  20.000,  1.000000, 15.330662,22EAF43C-DF59-4F98-980B-9011DCDDF162
280,  20.000,  1.000000, 37.546022,68629834-C2A3-479B-9172-6B461C677436
281,  20.000,  1.000000, 29.981460,353B33B6-9221-4D40-A931-5F4E912CA707
282,  20.000,  1.003883, 27.341599,956F58BB-5CF8-4C0C-908B-AFAD43C849EC
283,  20.000,  1.000000, 29.922127,56228DDE-E1E7-48F7-846E-F1E1306F3113
284,  20.000,  1.000000, 29.946804,E0E9AA1A-B62A-463C-94AE-50E25ACDAA87
285,  20.000,  1.000000, 29.983979,BB8D2C7D-104E-41EA-85BF-1FCF7A8A67F6
286,  20.000,  1.000000, 29.891841,3D9D4626-DE66-415D-BAEB-738171F6964D
287,  20.000,  1.000000, 30.556455,147CE145-1395-4D55-9219-58B73AE92931
288,  20.000,  1.000000, 30.549743,F1B582F0-E57A-49D7-AB68-B6D1227D86B0
289,  20.000,  1.000000, 30.472875,2A7D25D5-DD8E-49E8-90A9-7DC9631752A9
290,  20.000,  1.000000, 36.589753,E9DD7709-BCAA-46BC-ABC2-C6670B129F45
291,  20.000,  1.000000, 36.617508,C1286CF0-9CCE-40CF-B1CC-051091D0F49B
292,  20.000,  1.000000, 36.616069,B0C77104-F11F-43C4-9712-460097B5660C
293,  20.000,  1.000000, 31.890810,5ADFDF4D-7ABB-4D6F-B923-E9EE1401BAC4
294,  20.000,  1.000000, 32.156128,5155EE0A-35A0-4344-9337-D95F82A3790C
295,  20.000,  1.000000, 61.276682,7622E75D-2E78-48D5-AA7D-D46E9E31AD11
296,  20.000,  1.000000, 61.986569,DACB9710-E19C-497E-90D4-0FE315892F20
297,  20.000,  1.000000, 51.592238,295034AC-E0D1-402D-9AAC-DB7CF3AD008C
298,  20.000,  1.000000, 51.965470,02147D16-54B8-4F6F-826F-A580EC2ABE3E
